Student_ID,Branch,CGPA,10th_Percentage,12th_Percentage,Internship,Skills,Company,Package,Placed
STU1001,Electronics & Comm.,8.27,75.2,79.4,No,Data Analytics,TCS Digital,9.25,Yes
STU1002,Computer Science,8.07,77.9,75.1,Yes,Java & Spring,Accenture,7.21,Yes
STU1003,Electronics & Comm.,7.45,74.4,71.3,No,IoT & Python,Not Placed,0.0,No
STU1004,Computer Science,7.44,69.2,66.5,Yes,Cloud & DevOps,TCS Digital,10.01,Yes
STU1005,Information Technology,8.46,81.0,82.4,Yes,Data Analytics,L&T Infotech,7.06,Yes
STU1006,Computer Science,6.4,66.6,63.9,No,Machine Learning,Not Placed,0.0,No
STU1007,Computer Science,6.71,62.2,57.7,Yes,Python & DSA,L&T Infotech,9.49,Yes
STU1008,Information Technology,7.44,67.9,74.4,No,Python & DSA,Wipro,4.76,Yes
STU1009,Mechanical,7.44,68.5,65.2,Yes,Automation,Cognizant GenC,7.17,Yes
STU1010,Information Technology,8.58,77.2,73.9,Yes,Cloud & DevOps,Adobe,22.77,Yes
STU1011,Information Technology,8.13,77.3,69.1,Yes,Full Stack Web,Infosys (Specialist),9.45,Yes
STU1012,Mechanical,7.05,65.6,71.8,No,Automation,Not Placed,0.0,No
STU1013,Mechanical,9.15,89.1,84.7,Yes,Core Mechanical,Adobe,13.9,Yes
STU1014,Computer Science,7.09,73.0,68.9,No,Python & DSA,Not Placed,0.0,No
STU1015,Mechanical,6.93,67.1,58.9,No,Automation,Not Placed,0.0,No
STU1016,Civil,9.58,92.2,88.0,Yes,Project Planning,Cognizant GenC,7.32,Yes
STU1017,Computer Science,6.99,69.2,68.7,No,Java & Spring,Not Placed,0.0,No
STU1018,Electronics & Comm.,8.26,79.1,72.7,No,Java Core,Infosys (Specialist),11.11,Yes
STU1019,Electronics & Comm.,6.76,63.0,64.6,No,Data Analytics,Not Placed,0.0,No
STU1020,Information Technology,7.41,64.6,68.9,No,Full Stack Web,TCS Ninja,4.56,Yes
STU1021,Computer Science,7.65,70.6,70.6,Yes,Machine Learning,Infosys (Specialist),8.97,Yes
STU1022,Electronics & Comm.,8.47,77.4,77.5,Yes,Embedded Systems,TCS Digital,9.62,Yes
STU1023,Information Technology,5.54,55.0,53.1,No,Full Stack Web,Not Placed,0.0,No
STU1024,Information Technology,6.24,56.3,53.1,Yes,Java & Spring,Infosys (Specialist),7.53,Yes
STU1025,Computer Science,8.45,84.6,78.4,Yes,Java & Spring,TCS Digital,11.33,Yes
STU1026,Civil,7.79,73.8,67.7,Yes,AutoCAD & Revit,L&T Construction,8.44,Yes
STU1027,Computer Science,7.66,71.8,76.9,No,Java & Spring,Capgemini,9.95,Yes
STU1028,Computer Science,6.56,63.3,60.9,No,Python & DSA,Not Placed,0.0,No
STU1029,Computer Science,5.2,55.0,52.0,No,Full Stack Web,Not Placed,0.0,No
STU1030,Computer Science,9.39,88.1,92.6,Yes,Java & Spring,L&T Infotech,6.45,Yes
STU1031,Electronics & Comm.,6.52,59.1,62.4,No,C++ & VLSI,Not Placed,0.0,No
STU1032,Information Technology,6.96,63.9,67.6,Yes,Java & Spring,L&T Infotech,11.49,Yes
STU1033,Civil,8.08,73.9,80.4,No,Structural Analysis,Tata Motors,6.25,Yes
STU1034,Information Technology,6.38,64.3,59.1,No,Cloud & DevOps,Not Placed,0.0,No
STU1035,Computer Science,6.05,55.0,52.0,Yes,Java & Spring,Not Placed,0.0,No
STU1036,Computer Science,7.25,67.0,69.3,No,Java & Spring,Tech Mahindra,3.88,Yes
STU1037,Civil,8.88,88.3,75.3,Yes,Structural Analysis,Schneider Electric,6.71,Yes
STU1038,Information Technology,7.83,79.0,77.7,Yes,Data Analytics,L&T Infotech,9.04,Yes
STU1039,Information Technology,8.41,85.1,84.0,Yes,Data Analytics,Infosys (Specialist),9.75,Yes
STU1040,Electronics & Comm.,6.55,66.7,66.9,No,IoT & Python,Not Placed,0.0,No
STU1041,Mechanical,9.38,93.7,79.6,No,Core Mechanical,Accenture,10.41,Yes
STU1042,Mechanical,7.72,76.8,65.5,No,Data Analytics,Not Placed,0.0,No
STU1043,Computer Science,7.9,72.7,76.8,Yes,Python & DSA,Capgemini,7.06,Yes
STU1044,Information Technology,9.29,85.6,87.4,Yes,Cloud & DevOps,Amazon,13.38,Yes
STU1045,Civil,8.62,79.1,73.8,Yes,Project Planning,TCS Digital,8.12,Yes
STU1046,Electronics & Comm.,7.35,63.8,73.6,No,IoT & Python,Wipro,4.15,Yes
STU1047,Civil,8.75,85.1,75.2,No,Core Civil,Schneider Electric,5.8,Yes
STU1048,Electronics & Comm.,6.72,65.8,60.1,No,IoT & Python,Not Placed,0.0,No
STU1049,Electronics & Comm.,6.96,60.1,61.0,No,Data Analytics,Not Placed,0.0,No
STU1050,Electronics & Comm.,6.88,67.5,63.5,No,IoT & Python,Not Placed,0.0,No
